Date,Open,High,Low,Close,Volume,Num_deals,Value
2011-08-06,6423.87,6423.87,6019.21,6073.44,212302145,95732,4906861981.90
2011-08-03,6443.16,6443.16,6375.53,6423.87,83310463,49869,2017135868.40
2011-08-02,6471.82,6471.82,6422.63,6443.16,91502743,50502,2010119141.05
2011-08-01,6392.13,6471.82,6392.13,6471.82,112002662,60512,2652546800.40
2011-07-31,6355.72,6425.19,6353.73,6392.13,111493436,69109,2868016257.25
2011-07-30,6445.17,6445.17,6322.99,6355.72,120171821,74796,3012293503.90
2011-07-27,6476.59,6477.03,6437.46,6445.17,125339717,79066,3097354477.25
2011-07-26,6472.03,6482.70,6451.67,6476.59,118783639,70064,2735584345.10
2011-07-25,6525.34,6525.34,6466.96,6472.03,137369850,87381,3433764838.50
2011-07-24,6522.52,6538.58,6507.46,6525.34,99439125,67546,2736027206.00
2011-07-23,6489.50,6535.84,6487.25,6522.52,115253806,68438,3283550250.05
2011-07-20,6440.65,6501.50,6440.65,6489.50,131963013,73625,3354092559.30
2011-07-19,6423.29,6442.73,6406.33,6440.65,86679661,60929,2323688985.85
2011-07-18,6459.23,6459.23,6398.64,6423.29,105501997,65731,2527588481.55
2011-07-17,6523.01,6533.87,6440.19,6459.23,127290553,77296,3290302256.00
2011-01-25,6722.79,6747.53,6713.08,6723.83,110504941,61894,2615908504.00
2011-01-24,6692.31,6729.90,6692.31,6722.79,128678877,69157,2989050128.05
2011-01-23,6652.11,6695.57,6639.12,6692.31,136679604,75564,3194985622.25
2011-01-22,6657.73,6675.35,6642.88,6652.11,127017448,69668,2893154535.40
2011-01-19,6715.64,6715.64,6610.22,6657.73,141052492,75414,3828297930.70
2011-01-18,6768.24,6769.12,6686.22,6715.64,137074348,70745,3584710804.05
2011-01-17,6788.42,6795.29,6763.15,6768.24,154507568,71584,3978254819.65
2011-01-16,6778.99,6791.43,6760.54,6788.42,151189702,73186,3826090419.05
2011-01-15,6717.18,6788.48,6717.18,6778.99,179072541,76912,4045514597.25
2011-01-12,6701.28,6733.42,6701.07,6717.18,159970565,77014,3978374617.00
2011-01-11,6668.13,6702.16,6662.10,6701.28,137557386,65832,3130261565.95
2011-01-10,6723.32,6724.10,6661.00,6668.13,175177330,75274,3952293493.30
2011-01-09,6729.60,6748.83,6711.21,6723.32,172477747,70204,3517664758.85
2011-01-08,6696.55,6730.16,6690.80,6729.60,195099427,76995,4165682903.60
2011-01-05,6699.96,6712.40,6678.32,6696.55,135699462,69702,3239033275.80
2011-01-04,6676.66,6704.40,6676.14,6699.96,160156336,74102,3966376686.25
2011-01-03,6656.35,6682.71,6646.05,6676.66,127800941,68507,3347805058.05
2011-01-02,6654.40,6666.55,6642.45,6656.35,122198157,65397,2699638172.15
2011-01-01,6620.75,6654.79,6616.86,6654.40,135831390,64629,2796280041.05
2010-12-29,6616.90,6639.27,6610.54,6620.75,138561939,68202,3233020105.20
2010-12-28,6581.74,6627.74,6577.49,6616.90,112863063,65292,2706223825.00
2010-12-27,6611.81,6620.08,6560.10,6581.74,139831000,73318,3245095948.20
2010-12-26,6609.14,6616.00,6586.01,6611.81,135220464,69253,2813727004.10
2010-12-25,6609.53,6621.61,6599.72,6609.14,146579621,69628,2942815544.00
2010-12-22,6605.47,6615.66,6585.03,6609.53,146585312,74111,3166359466.85
2010-12-21,6595.27,6612.38,6588.61,6605.47,114367295,69084,2897348223.70
2010-12-20,6577.11,6595.27,6552.96,6595.27,122380380,66117,2816864817.20
2010-12-19,6563.58,6577.11,6544.96,6577.11,150882297,72580,3058360563.95
2010-12-18,6499.00,6566.80,6499.00,6563.58,147410978,74263,3428612659.35
2010-12-15,6523.01,6523.01,6487.37,6499.00,122179181,67810,2911115846.75
2011-03-09,6073.79,6157.97,6073.67,6108.67,240177661,105370,4847881468.90
2011-03-08,5950.74,6157.92,5897.05,6073.79,316670268,127580,6139558441.55
2011-03-07,5762.50,5952.99,5678.23,5950.74,227582690,96789,4524610994.90
2011-03-06,5709.91,5821.08,5601.72,5762.50,268256792,130724,5596326984.90
2011-03-05,5323.27,5716.47,5320.93,5709.91,299859631,127297,5725637313.60
2011-03-02,5538.72,5538.72,5231.51,5323.27,267224512,120895,5342880249.85
2011-03-01,5941.63,5995.37,5441.94,5538.72,231893990,106551,5119484821.30
2011-02-28,5950.64,5982.21,5835.70,5941.63,207246223,91357,4727898464.95
2011-02-27,6263.79,6294.99,5918.92,5950.64,229276418,107961,4919706975.85
2011-02-23,6277.03,6364.84,6257.08,6263.79,159969697,81226,3729466299.00
2011-02-22,6298.85,6298.85,6202.46,6277.03,143152014,74081,3147589727.00
2011-02-21,6333.91,6352.89,6279.13,6298.85,130913142,71286,3056530647.40
2011-02-20,6383.88,6420.96,6323.81,6333.91,151528690,79467,3547036694.75
2011-02-19,6486.83,6486.83,6295.13,6383.88,167506124,87355,3987778004.00
2011-02-16,6606.05,6606.05,6472.26,6486.83,180871246,94108,4066539472.90
2011-02-15,6624.20,6627.02,6597.32,6606.05,145774553,76133,3127741395.85
