Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2009-09-06,5670.92,5682.5,5640.5,5667.94,85587519,5667.94,79909,2204238996
2009-09-05,5617.31,5673.97,5617.31,5670.92,100627547,5670.92,96074,2434303729
2009-09-02,5633.79,5633.79,5530.79,5617.31,97562361,5617.31,207222,2397129788
2009-09-01,5660.89,5671.36,5579.68,5633.79,89555969,5633.79,68260,2033172145
2009-08-31,5699,5699,5646.6,5660.89,72036760,5660.89,67731,1862491103
2009-08-30,5739.2,5743.88,5669.9,5699,63372649,5699,63195,1614666610
2009-08-29,5762.75,5778.52,5718.4,5739.2,77204789,5739.2,69728,1862421629
2009-08-26,5785.3,5792.89,5742.61,5762.75,89457919,5762.75,79114,2468822980
2009-08-25,5789.78,5791.03,5745.24,5785.3,80602928,5785.3,76982,2771241324
2009-08-24,5717.51,5796.26,5717.51,5789.78,95645177,5789.78,82819,3198518232
2009-08-23,5751.73,5751.75,5699.73,5717.51,85597211,5717.51,78499,2494029666
2009-08-22,5623.06,5771.27,5623.06,5751.73,109025201,5751.73,79523,2844203653
2009-08-19,5759.58,5759.58,5613.57,5623.06,135691447,5623.06,123579,3680799947
2009-08-18,5711.49,5761.49,5706.58,5759.58,123608597,5759.58,109865,3586374143
2009-08-17,5855.25,5855.25,5709.38,5711.49,193308092,5711.49,145458,5273528524
2009-08-16,5838.27,5862.07,5824.09,5855.25,140989307,5855.25,111926,3754161807
2009-08-15,5845.68,5848.23,5797.17,5838.27,134912729,5838.27,119643,3665553676
2009-08-12,5869.73,5869.92,5810.41,5845.68,137833256,5845.68,125557,4161327404
2009-08-11,5887.19,5918.87,5854.69,5869.73,185207138,5869.73,141895,4962210570
2009-08-10,5775.73,5889.05,5772.94,5887.19,219071046,5887.19,147596,5481989831
2009-08-09,5777.38,5784.44,5747.9,5775.73,116334299,5775.73,128507,3014474914
2009-08-08,5769.99,5804.73,5767.86,5777.38,206445552,5777.38,305969,4179544504
2009-08-05,5779.33,5791.12,5757.71,5769.99,99608129,5769.99,104476,2858309716
2009-08-04,5818.37,5836.49,5768.65,5779.33,139218492,5779.33,238067,4064739141
2009-08-03,5767.94,5820.41,5761.91,5818.37,135768144,5818.37,94722,4126651620
2009-08-02,5786.31,5786.36,5706.46,5767.94,132468583,5767.94,109962,3717123190
2009-08-01,5778.14,5857.66,5776.57,5786.31,149811461,5786.31,121955,3983471030
2009-07-29,5778.91,5783.96,5720.76,5778.14,149997328,5778.14,234830,4565991355
2009-07-28,5839.41,5862.71,5768.2,5778.91,151086929,5778.91,129589,4271681941
2009-07-27,5817.13,5878.8,5816.01,5839.41,201593303,5839.41,242545,5551890650
2009-07-26,5828.56,5848.88,5798.81,5817.13,188732649,5817.13,132386,4938803518
2009-07-25,5670.52,5833.63,5670.52,5828.56,233025464,5828.56,151301,6243354249
2009-07-22,5748.82,5756.58,5667.64,5670.52,200056039,5670.52,154383,5695214277
2009-07-21,5717.65,5751.15,5681.53,5748.82,229985094,5748.82,146306,6087315876
2009-07-20,5675.95,5717.82,5642.18,5717.65,208448468,5717.65,135337,5460756090
2009-07-19,5774.72,5777.64,5641.49,5675.95,219141595,5675.95,158674,5972857383
2009-07-18,5631.78,5777.49,5630.52,5774.72,234740137,5774.72,150260,5882749287
2009-07-15,5576.62,5674.28,5576.61,5631.78,174975715,5631.78,132693,4640037309
2009-07-14,5448.07,5588.83,5448.07,5576.62,182055656,5576.62,150151,4939400612
2009-07-13,5456.14,5459.81,5390.82,5448.07,131377590,5448.07,220074,4276655462
2009-07-12,5472.29,5499.52,5426.94,5456.14,150020347,5456.14,116119,3735526743
2009-07-11,5413.23,5472.36,5393.52,5472.29,128602931,5472.29,98126,3301373129
2009-07-08,5457.71,5458.08,5374.18,5413.23,143063561,5413.23,120612,3707007820
2009-07-07,5407.31,5471.71,5407.31,5457.71,144424697,5457.71,111616,3708445009
2009-07-06,5496.72,5496.72,5394.06,5407.31,160345892,5407.31,127409,3872032246
2009-07-05,5467.81,5513.05,5463.52,5496.72,146140612,5496.72,122402,3871461354
2009-07-04,5599.38,5599.38,5444.53,5467.81,193519185,5467.81,141004,4684862372
2009-07-01,5596.46,5605.86,5524.39,5599.38,190635981,5599.38,154923,4983232691
2009-06-30,5553.08,5641.51,5553.08,5596.46,212351475,5596.46,154872,5326281244
2009-06-29,5490.02,5553.08,5476.64,5553.08,208703181,5553.08,148414,5065539789
2009-06-28,5601.19,5603.01,5417.54,5490.02,223754619,5490.02,161542,5119583267
2009-06-27,5609.02,5661.15,5592.54,5601.19,188935107,5601.19,142532,4504727786
2009-06-24,5578.95,5657.15,5578.63,5609.02,225815965,5609.02,159561,5331600141
2009-06-23,5708.67,5708.67,5514.69,5578.95,224553651,5578.95,157225,5164040314
2009-06-22,5741.83,5766.87,5611.88,5708.67,251885008,5708.67,190846,5906175367
2009-06-21,5956.76,5967.86,5657.19,5741.83,303643229,5741.83,230004,7799869240
2009-06-20,5990.3,6000.84,5899.27,5956.76,250555542,5956.76,233095,6722030801
2009-06-17,6062.35,6064.65,5975.14,5990.3,287551941,5990.3,188254,7346192446
2009-06-16,6049.77,6065.91,5966.9,6062.35,312276094,6062.35,172462,7078340978
2009-06-15,6099.45,6099.45,6022.64,6049.77,286784789,6049.77,169989,6377382311
2009-06-14,6094.91,6137.95,6079.43,6099.45,394081555,6099.45,204762,8689946121
2009-06-13,5941.2,6097.13,5940.83,6094.91,317286534,6094.91,167750,7194667697
2009-06-10,5881.74,5971.91,5881.74,5941.2,336242985,5941.2,174972,7677280863
2009-06-09,5877.99,5892.71,5814.21,5881.74,294021415,5881.74,167712,6240166322
2009-06-08,6009.31,6009.56,5868.04,5877.99,332944262,5877.99,186368,7111429501
2009-06-07,5984.56,6009.43,5871.16,6009.31,277430399,6009.31,178917,6716090853
2009-06-06,6048.87,6107.3,5970.96,5984.56,320458702,5984.56,188345,7525808424
2009-06-03,6031.46,6074.92,6011.67,6048.87,321458659,6048.87,187749,7549449152
2009-06-02,6003.25,6114.91,6003.25,6031.46,414824623,6031.46,217431,9876514941
2009-06-01,5893.34,6003.43,5874.59,6003.25,371844816,6003.25,197456,8962675368
2009-05-31,5933.54,5964.67,5869.04,5893.34,372289291,5893.34,202865,8599129575
2009-05-30,5789.43,5940.56,5789.43,5933.54,351307974,5933.54,197467,8511949327
2009-05-27,5770.95,5899.98,5759.43,5789.43,276146005,5789.43,179577,6605710975
2009-05-26,5914.23,5924.35,5729.4,5770.95,347474290,5770.95,216265,7930438539
2009-05-25,6052.3,6060.32,5862.98,5914.23,359651233,5914.23,229172,8266256696
2009-05-24,6100.85,6139.9,6048.99,6052.3,424605115,6052.3,250526,10186949725
2009-05-23,6052.63,6101.48,5973.77,6100.85,372291975,6100.85,209198,8311841353
2009-05-20,6063.12,6082.38,6019.4,6052.63,350219387,6052.63,208744,8205431367
2009-05-19,5980.36,6115.09,5980.36,6063.12,445596973,6063.12,251605,10823277263
2009-05-18,5941.54,5989.15,5933.58,5980.36,341157135,5980.36,204826,8358594470
2009-05-17,5871.57,5941.54,5843.05,5941.54,287854107,5941.54,171363,7191101345
2009-05-16,6044.78,6044.78,5808.09,5871.57,367935967,5871.57,215677,8676968174
2009-05-13,6017.66,6077.75,6008.32,6044.78,351350352,6044.78,212186,8370624537
2009-05-12,5947.94,6051.69,5904,6017.66,376710428,6017.66,205553,8807208952
2009-05-11,6025.71,6027.09,5938.45,5947.94,502343072,5947.94,226808,9998759867
2009-05-10,6019.69,6078.56,5935.45,6025.71,481481828,6025.71,250745,11109203741
2009-05-09,5802.14,6019.93,5802.14,6019.69,541613264,6019.69,231045,10490757328
2009-05-06,5800.29,5893.51,5758.48,5802.14,384978757,5802.14,225315,9451674381
2009-05-05,5738.29,5815.41,5714.77,5800.29,470024843,5800.29,257987,9936239450
2009-05-04,5626.76,5740.9,5626.76,5738.29,459327655,5738.29,243538,9253666788
2009-05-03,5644.11,5655.32,5563.26,5626.76,288369248,5626.76,193382,6463539997
2009-05-02,5625.51,5735.09,5622.53,5644.11,422420391,5644.11,240910,8856511828
2009-04-29,5471.9,5625.71,5470.28,5625.51,425830571,5625.51,227744,8777792342
2009-04-28,5420.79,5471.9,5402.3,5471.9,234119127,5471.9,157217,5244262198
2009-04-27,5440.3,5509.12,5386.94,5420.79,275770302,5420.79,172298,6177655872
2009-04-26,5380.22,5483.75,5328.11,5440.3,389990051,5440.3,222311,8435095341
2009-04-25,5216.84,5391.67,5216.84,5380.22,325634085,5380.22,187847,6788585759
2009-04-22,5055.93,5218.67,5053.09,5216.84,348364105,5216.84,199087,6982297487
2009-04-21,5218.69,5218.69,4893.51,5055.93,334637192,5055.93,192854,6433336661
2009-04-20,5250.22,5250.22,5096.68,5218.69,251370048,5218.69,171419,5291674123
2009-04-19,5466.49,5495.45,5215.19,5250.22,389935457,5250.22,239049,8420601987
2009-04-18,5377.24,5479.9,5377.24,5466.49,335481764,5466.49,184895,7005869803
2009-04-15,5444.09,5444.21,5313.69,5377.24,344657170,5377.24,186750,7035454796
2009-04-14,5308.42,5444.09,5308.42,5444.09,338752415,5444.09,183647,6942017449
2009-04-13,5202.57,5343.65,5179.12,5308.42,300192831,5308.42,166853,5740198551
2009-04-12,5200.17,5229.15,5168.06,5202.57,286426036,5202.57,167655,5414276321
2009-04-11,5039.03,5250.98,5039.03,5200.17,312478215,5200.17,176901,6314338523
2009-04-08,5052.55,5052.55,4946.99,5039.03,212267934,5039.03,153682,4340040960
2009-04-07,5082.54,5085.59,5026.4,5052.55,258065395,5052.55,159469,4965881220
2009-04-06,5000.95,5095.42,4993.05,5082.54,309240249,5082.54,166850,5593315773
2009-04-05,4966.38,5052.11,4933.36,5000.95,347084422,5000.95,186851,6314103933
2009-04-04,4717.38,4967.58,4717.38,4966.38,346388584,4966.38,163826,6149126136
2009-04-01,4703.75,4733.8,4693.88,4717.38,160759199,4717.38,119435,3304843517
2009-03-31,4632.51,4703.75,4600.62,4703.75,176420344,4703.75,115742,3356858108
2009-03-30,4728.55,4728.55,4614.34,4632.51,220607348,4632.51,136924,3961714023
